Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
478.74042	84.3973	84.8766	85.3639	2	z2:478.7404	1	2	955.46628	478.74042	1.0105e8	1	1
843.41437	73.8316	74.1358	74.2673	2	z2:843.4144	1	2	1684.81418	843.41437	1.0105e8	1	2
558.75732	55.7625	56.2464	56.7356	2	z2:558.7573	1	2	1115.50010	558.75732	1.0105e8	1	1
460.25052	23.6090	23.7039	23.9263	3;4	z3:613.3330;z4:460.2505	2	4	1836.97499	460.25102	1.0105e8	2	3
617.30463	54.1486	54.4520	54.9477	2	z2:617.3046	1	2	1232.59470	617.30463	1.0105e8	1	1
504.76343	45.6932	46.0569	46.4966	6	z6:504.7634	1	6	3019.52684	504.26175	1.0104e8	1	1
457.57971	29.1299	29.3855	29.8290	3	z3:457.5797	1	3	1369.71731	457.57971	1.0104e8	1	1
415.26083	64.5714	64.8264	65.3157	4	z4:415.2608	1	4	1657.01423	415.26083	1.0104e8	1	1
515.99512	89.0972	89.3074	89.6977	4	z4:515.9951	1	4	2058.94801	515.74428	1.0103e8	1	1
966.59094	143.7528	143.7838	144.2739	2;3	z2:966.5909;z3:644.7300	2	2	1930.16416	966.08936	1.0103e8	2	2
987.51746	107.6068	107.7798	107.9906	2	z2:987.5175	1	2	1972.01700	987.01578	1.0103e8	1	1
618.30640	69.2263	69.4188	69.8947	2	z2:618.3064	1	2	1234.59824	618.30640	1.0102e8	1	1
418.23080	62.1051	62.2104	62.7067	3;4	z3:557.6370;z4:418.2308	2	4	1668.89194	418.23026	1.0102e8	2	2
671.75665	115.0428	115.0626	115.5538	2	z2:671.7567	1	2	1341.49875	671.75665	1.0101e8	1	1
555.98920	71.8736	71.9453	72.0085	3	z3:555.9892	1	3	1663.94241	555.65475	1.0100e8	1	1
454.25534	108.3509	108.3632	108.8566	2	z2:454.2553	1	2	906.49613	454.25534	1.0100e8	1	1
717.86566	63.1417	63.2024	63.7010	2	z2:717.8657	1	2	1433.71677	717.86566	1.0100e8	1	1
1063.98145	121.6086	121.7621	122.2073	2	z2:1063.9814	1	2	2124.94498	1063.47977	1.0100e8	1	1
704.01038	74.5063	74.6790	74.9857	3;4	z3:704.0104;z4:528.2588	2	3	2108.00453	703.67545	1.0099e8	2	2
544.30450	37.0071	37.0169	37.5078	3	z3:544.3045	1	3	1628.88833	543.97005	1.0099e8	1	1
503.27219	40.6123	40.6692	41.1482	2	z2:503.2722	1	2	1004.52982	503.27219	1.0099e8	1	1
437.56766	50.2967	50.7869	51.1981	3	z3:437.5677	1	3	1309.68114	437.56766	1.0099e8	1	1
565.29669	54.0792	54.3046	54.7213	2	z2:565.2967	1	2	1128.57883	565.29669	1.0097e8	1	1
795.40393	100.4619	100.5871	100.8757	3	z3:795.4039	1	3	2382.18661	795.06948	1.0096e8	1	1
638.33960	111.8861	112.3768	112.8745	3	z3:638.3396	1	3	1911.99697	638.33960	1.0095e8	1	1
475.27747	53.6386	53.8175	54.2068	2	z2:475.2775	1	2	948.54038	475.27747	1.0095e8	1	1
731.67883	98.0699	98.2582	98.7445	3	z3:731.6788	1	3	2191.01131	731.34438	1.0095e8	1	1
436.57541	27.8433	28.3332	28.8291	3	z3:436.5754	1	3	1306.70440	436.57541	1.0094e8	1	1
459.21646	43.9050	44.1201	44.6166	4	z4:459.2165	1	4	1832.83674	459.21646	1.0094e8	1	1
707.34100	95.4784	95.9526	96.3503	3	z3:707.3410	1	3	2119.00118	707.34100	1.0094e8	1	1
586.79608	99.5487	99.8708	100.3381	2	z2:586.7961	1	2	1171.57761	586.79608	1.0093e8	1	1
991.13055	106.5951	106.8712	107.3583	3	z3:991.1306	1	3	2969.36648	990.79610	1.0093e8	1	1
591.33130	37.2731	37.4942	37.8040	2	z2:591.3313	1	2	1180.64804	591.33130	1.0093e8	1	1
511.75107	91.9303	91.9798	92.4741	2	z2:511.7511	1	2	1021.48758	511.75107	1.0093e8	1	1
927.47632	48.9961	49.1555	49.4496	2	z2:927.4763	1	2	1851.93473	926.97464	1.0093e8	1	1
777.92059	106.3466	106.5717	106.9528	2	z2:777.9206	1	2	1553.82663	777.92059	1.0092e8	1	1
628.84662	102.8912	102.8912	103.3742	2	z2:628.8466	1	2	1255.67868	628.84662	1.0092e8	1	1
405.49219	29.6162	29.9576	30.3060	3;4	z3:540.3209;z4:405.4922	2	4	1617.94011	405.49230	1.0091e8	2	2
799.92688	105.0474	105.4696	105.9565	2	z2:799.9269	1	2	1597.83921	799.92688	1.0091e8	1	1
483.78482	43.1260	43.3523	43.5511	1	z1:483.7848	1	1	482.77754	483.78482	1.0090e8	1	1
653.32300	37.2360	37.3595	37.8584	2	z2:653.3230	1	2	1304.63144	653.32300	1.0090e8	1	1
861.09412	134.7895	135.0211	135.3475	3	z3:861.0941	1	3	2579.25716	860.75966	1.0089e8	1	1
864.46436	122.2246	122.3039	122.7767	3	z3:864.4644	1	3	2589.36788	864.12990	1.0089e8	1	1
1183.09583	78.3394	78.6231	78.8201	2;3	z2:1183.0958;z3:789.0668	2	2	2363.17374	1182.59415	1.0087e8	1	2
742.70508	118.8072	119.3049	119.6666	3	z3:742.7051	1	3	2224.09005	742.37063	1.0087e8	1	1
503.74619	46.0692	46.5596	46.7908	2	z2:503.7462	1	2	1005.47782	503.74619	1.0086e8	1	1
598.47467	72.4484	72.7852	73.0073	6	z6:598.4747	1	6	3581.79430	597.97299	1.0086e8	1	1
487.48621	25.1305	25.1761	25.6689	4	z4:487.4862	1	4	1945.91572	487.48621	1.0085e8	1	1
782.89178	90.4123	90.6230	90.9894	2	z2:782.8918	1	2	1563.76902	782.89178	1.0084e8	1	1
