mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1445.74155	482.92184	3	60.5217	4.0360e+05	1	rt_miss	-1.0277	2;3	19.41	21.8061	3
882.56911	442.29276	2	83.8372	4.0508e+05	1	rt_miss	-16.3854	2	-16.24	-16.3854	2
2126.18160	710.07043	3	132.7141	4.1043e+05	1	rt_miss	11.0387	2	1.70	11.0387	2
1403.77726	702.89703	2	113.0798	4.1178e+05	1	rt_miss	1.9494	2	-17.38	-89.3759	2;3
1455.83103	486.28439	3	75.9571	4.1422e+05	1	rt_miss	1.6801	3	-16.21	-37.3750	3
1836.75846	613.26147	3	28.3765	4.1589e+05	1	rt_miss	-3.7464	3	-9.61	54.5292	3
2329.01098	777.67883	3	129.5703	4.1698e+05	1	rt_miss	-0.5350	3	17.37	-6.2936	2
2509.30373	837.77606	3	143.5041	4.2057e+05	1	rt_miss	-3.1808	3	3.82	-21.9227	3
2565.28233	642.58051	4	139.3659	4.2510e+05	1	rt_miss	-0.9595	4	19.70	-92.2116	6
1970.00438	493.75958	4	26.8809	4.2576e+05	1	rt_miss	0.6574	4	14.96	87.1434	2
1003.60662	502.81128	2	126.8597	4.2627e+05	1	rt_miss	9.6287	2	-6.94	-44.8510	2
1484.84501	743.43298	2	137.1680	4.2961e+05	1	rt_miss	6.6158	2;3	-18.98	-59.6124	3
1543.65007	772.83203	2	106.2624	4.3068e+05	1	rt_miss	-0.4794	2	-18.90	-30.8952	2
1255.69247	419.57202	3	90.7665	4.3083e+05	1	rt_miss	-0.5646	1;2	19.05	-29.9776	3
1387.68845	463.57013	3	50.4124	4.3105e+05	1	rt_miss	1.6050	2	-15.13	75.1538	2
1570.82025	524.61548	3	82.7115	4.3130e+05	1	rt_miss	-3.6239	2;3	-19.72	18.8438	2
1371.79733	686.90692	2	132.6733	4.3232e+05	1	rt_miss	10.7374	2	5.18	-86.6931	3
1355.81365	452.94586	3	69.1162	4.3249e+05	1	rt_miss	0.3720	3	7.79	76.9451	2;3
1334.61363	668.31482	2	27.8604	4.3516e+05	1	rt_miss	-0.3771	2	18.28	15.4659	2
1908.03566	637.35474	3	138.4149	4.3777e+05	1	rt_miss	2.1286	2	-18.72	-62.6363	3;4
1065.67978	533.84766	2	88.0953	4.4047e+05	1	no_mass_candidate			-22.33	-48.8657	2
1334.71942	668.36841	2	78.8299	4.4222e+05	1	rt_miss	-0.3256	2	19.88	53.2628	2
1039.54508	520.78021	2	94.1237	4.4399e+05	1	rt_miss	-3.6469	2	3.18	-48.9771	1
1666.81623	834.41760	2	105.1115	4.4570e+05	1	rt_miss	0.3320	2	-18.59	-3.8078	2
1066.51173	534.26208	2	89.8785	4.4590e+05	1	rt_miss	0.3852	2	-18.67	-49.5719	1;2
1501.70086	751.85889	2	28.2011	4.4862e+05	1	rt_miss	2.7405	2;3	19.48	39.1368	3
1340.59520	671.30493	2	54.5630	4.5164e+05	1	rt_miss	-0.9120	1;2	13.25	-25.2677	2;3
1547.73686	774.87775	2	40.3066	4.5411e+05	1	rt_miss	-0.3690	2;3	19.83	73.4092	2
1770.91924	886.46924	2	101.9337	4.5505e+05	1	rt_miss	0.6541	2	17.22	1.9002	3
838.36771	420.19116	2	31.3110	4.5676e+05	1	rt_miss	28.9312	2	16.68	29.6275	2
